MONTH,NUM_GAMES,ACCURACY,PRECISION,RECALL,SIMULATED_PNL,SIMULATED_ROI
2021-01,444,0.4505,0.4522,0.4685,-4400,-9.91
2021-02,424,0.4387,0.4375,0.4292,-5200,-12.26
2021-03,408,0.5515,0.5522,0.5441,4200,10.29
2021-04,480,0.5896,0.5939,0.5667,8600,17.92
2021-05,334,0.6317,0.631,0.6347,8800,26.35
2021-06,90,0.5111,0.5106,0.5333,200,2.22
2021-07,16,0.8125,0.8571,0.75,1000,62.5
2021-10,186,0.5914,0.5934,0.5806,3400,18.28
2021-11,450,0.5222,0.5217,0.5333,2000,4.44
2021-12,418,0.5622,0.5607,0.5742,5200,12.44
2022-01,462,0.5952,0.5948,0.5974,8800,19.05
2022-02,326,0.6043,0.6062,0.5951,6800,20.86
2022-03,458,0.6288,0.6245,0.6463,11800,25.76
2022-04,246,0.6138,0.6148,0.6098,5600,22.76
2022-05,76,0.5132,0.5135,0.5,200,2.63
2022-06,12,0.6667,0.6667,0.6667,400,33.33
2022-10,204,0.5392,0.5392,0.5392,1600,7.84
2022-11,444,0.5788,0.5771,0.5901,7000,15.77
2022-12,444,0.5428,0.5415,0.5586,3800,8.56
2023-01,444,0.5833,0.583,0.5856,7400,16.67
2023-02,326,0.592,0.5938,0.5828,6000,18.4
2023-03,458,0.6026,0.6009,0.6114,9400,20.52
2023-04,230,0.5739,0.5739,0.5739,3400,14.78
2023-05,68,0.6029,0.5946,0.6471,1400,20.59
2023-06,10,0.6,0.6,0.6,200,20.0
2023-10,108,0.5278,0.5283,0.5185,600,5.56
2023-11,438,0.6575,0.6561,0.6621,13800,31.51
2023-12,414,0.6618,0.665,0.6522,13400,32.37
2024-01,462,0.6688,0.6667,0.6753,15600,33.77
2024-02,348,0.6523,0.6497,0.6609,10600,30.46
2024-03,460,0.5913,0.5905,0.5957,8400,18.26
2024-04,302,0.6325,0.6316,0.6358,8000,26.49
2024-05,82,0.5488,0.5435,0.6098,800,9.76
2024-06,10,0.8,0.8,0.8,600,60.0
2024-10,142,0.5845,0.5833,0.5915,2400,16.9
2024-11,444,0.6734,0.6711,0.6802,15400,34.68
2024-12,382,0.6518,0.6495,0.6597,11600,30.37
2025-01,454,0.6035,0.6,0.6211,9400,20.7
2025-02,352,0.642,0.6389,0.6534,10000,28.41
2025-03,476,0.6071,0.6094,0.5966,10200,21.43
2025-04,286,0.6364,0.6383,0.6294,7800,27.27
2025-05,78,0.5513,0.55,0.5641,800,10.26
2025-06,14,0.5,0.5,0.5714,0,0.0
