GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,IS_HOME,REST_DAYS,WIN,WIN_PCT_L10,WIN_PCT_HOME,WIN_PCT_AWAY,OFF_RATING_L10,DEF_RATING_L10,PACE_PROXY_L10,PM_TREND_L10,OPP_WIN_PCT_L10,OPP_OFF_RATING_L10,OPP_DEF_RATING_L10,OPP_PACE_PROXY_L10,OPP_PM_TREND_L10
22000057,2020-12-30,ATL,ATL @ BKN,0,2.0,0,1.0,,1.0,124.66666666666667,112.0,74.0,12.666666666666666,0.5,115.75,104.0,73.0,11.75
22000072,2021-01-01,ATL,ATL @ BKN,0,2.0,1,0.75,,0.6666666666666666,128.75,120.25,75.75,8.5,0.6,121.6,111.4,72.4,10.2
22000083,2021-01-02,ATL,ATL vs. CLE,1,1.0,0,0.8,1.0,,125.8,115.4,75.0,10.4,0.6,110.4,108.2,74.0,2.2
22000095,2021-01-04,ATL,ATL vs. NYK,1,2.0,0,0.6666666666666666,0.5,,120.0,112.16666666666667,74.16666666666666,7.833333333333333,0.5,101.66666666666667,104.66666666666667,70.16666666666666,-3.0
22000110,2021-01-06,ATL,ATL vs. CHA,1,2.0,0,0.5714285714285714,0.3333333333333333,,118.28571428571429,112.28571428571429,72.71428571428571,6.0,0.2857142857142857,107.28571428571429,112.28571428571429,74.0,-5.0
22000134,2021-01-09,ATL,ATL @ CHA,0,3.0,0,0.5,,0.75,115.25,111.0,73.875,4.25,0.4444444444444444,107.88888888888889,110.0,74.11111111111111,-2.111111111111111
22000153,2021-01-11,ATL,ATL vs. PHI,1,2.0,1,0.4444444444444444,0.25,,114.11111111111111,111.22222222222223,73.66666666666667,2.888888888888889,0.7,113.0,108.5,72.9,4.5
22000186,2021-01-15,ATL,ATL @ UTA,0,4.0,0,0.5,,0.6,113.9,109.5,74.1,4.4,0.6,109.2,107.3,71.6,1.9
22000195,2021-01-16,ATL,ATL @ POR,0,1.0,0,0.4,,0.5,110.7,110.7,73.30000000000001,0.0,0.6,116.4,114.5,65.6,1.9
22000205,2021-01-18,ATL,ATL vs. MIN,1,2.0,1,0.3,0.4,,109.1,110.7,72.8,-1.6,0.2,108.4,120.5,68.6,-12.1
22000219,2021-01-20,ATL,ATL vs. DET,1,2.0,1,0.3,0.5,,107.1,108.4,73.3,-1.3,0.3,107.6,111.0,64.9,-3.4
22000236,2021-01-22,ATL,ATL @ MIN,0,2.0,1,0.4,,0.42857142857142855,105.3,105.4,73.6,-0.1,0.1,107.0,117.2,68.19999999999999,-10.2
22000254,2021-01-24,ATL,ATL @ MIL,0,2.0,0,0.4,,0.5,105.5,105.6,74.0,-0.1,0.7,117.1,109.4,72.8,7.7
22000268,2021-01-26,ATL,ATL vs. LAC,1,2.0,1,0.4,0.5714285714285714,,107.9,108.9,72.4,-1.0,0.8,117.7,106.3,69.4,11.4
22000274,2021-01-27,ATL,ATL vs. BKN,1,1.0,0,0.5,0.625,,107.9,107.5,72.6,0.4,0.6,118.5,118.8,70.9,-0.3
22000290,2021-01-29,ATL,ATL @ WAS,0,2.0,1,0.5,,0.4444444444444444,111.3,110.5,71.0,0.8,0.3,117.3,120.8,69.6,-3.5
22000313,2021-02-01,ATL,ATL vs. LAL,1,3.0,0,0.6,0.5555555555555556,,112.4,109.2,70.1,3.2,0.7,109.3,102.2,68.2,7.1
22000330,2021-02-03,ATL,ATL vs. DAL,1,2.0,0,0.5,0.5,,111.1,110.5,68.6,0.6,0.2,107.9,116.8,61.6,-8.9
22000338,2021-02-04,ATL,ATL vs. UTA,1,1.0,0,0.5,0.45454545454545453,,113.5,111.1,70.1,2.4,0.9,117.7,105.7,73.0,12.0
22000356,2021-02-06,ATL,ATL vs. TOR,1,2.0,1,0.5,0.4166666666666667,,112.0,111.1,69.7,0.9,0.6,113.3,108.4,67.3,4.9
22000384,2021-02-10,ATL,ATL @ DAL,0,4.0,0,0.5,,0.5,114.4,113.5,69.1,0.9,0.3,113.8,122.3,63.800000000000004,-8.5
22000397,2021-02-12,ATL,ATL vs. SAS,1,2.0,0,0.4,0.46153846153846156,,113.8,113.8,67.6,0.0,0.6,109.9,112.8,68.6,-2.9
22000407,2021-02-13,ATL,ATL vs. IND,1,1.0,0,0.3,0.42857142857142855,,113.6,116.5,66.3,-2.9,0.4,111.7,110.9,70.1,0.8
22000422,2021-02-15,ATL,ATL @ NYK,0,2.0,0,0.3,,0.45454545454545453,113.4,116.1,68.2,-2.7,0.5,105.9,102.7,66.69999999999999,3.2
22000438,2021-02-17,ATL,ATL @ BOS,0,2.0,1,0.2,,0.4166666666666667,113.8,118.5,67.5,-4.7,0.4,106.0,107.3,64.5,-1.3
22000451,2021-02-19,ATL,ATL @ BOS,0,2.0,0,0.3,,0.46153846153846156,113.2,116.7,66.5,-3.5,0.4,107.9,109.9,63.8,-2.0
22000470,2021-02-21,ATL,ATL vs. DEN,1,2.0,1,0.2,0.4,,112.5,118.8,66.4,-6.3,0.5,114.6,111.5,66.4,3.1
22000480,2021-02-23,ATL,ATL @ CLE,0,2.0,0,0.3,,0.42857142857142855,114.9,119.6,67.4,-4.7,0.0,103.4,124.3,63.6,-20.9
22000490,2021-02-24,ATL,ATL vs. BOS,1,1.0,1,0.3,0.4375,,114.4,118.6,66.0,-4.2,0.3,108.1,110.0,64.9,-1.9
22000510,2021-02-26,ATL,ATL @ OKC,0,2.0,0,0.4,,0.4,118.0,118.6,66.4,-0.6,0.3,104.9,108.2,70.19999999999999,-3.3
22000522,2021-02-28,ATL,ATL @ MIA,0,2.0,0,0.3,,0.375,115.7,118.3,66.5,-2.6,0.7,108.5,106.9,71.8,1.6
22000538,2021-03-02,ATL,ATL @ MIA,0,2.0,1,0.3,,0.35294117647058826,113.9,117.4,66.7,-3.5,0.7,109.6,107.2,73.1,2.4
22000544,2021-03-03,ATL,ATL @ ORL,0,1.0,1,0.4,,0.3888888888888889,111.9,112.9,67.69999999999999,-1.0,0.4,107.2,112.5,68.6,-5.3
22000570,2021-03-11,ATL,ATL @ TOR,0,8.0,1,0.5,,0.42105263157894735,112.1,111.6,67.2,0.5,0.5,110.4,110.6,64.6,-0.2
22000590,2021-03-13,ATL,ATL vs. SAC,1,2.0,1,0.6,0.47058823529411764,,113.0,111.3,68.6,1.7,0.3,118.1,121.7,68.4,-3.6
22000597,2021-03-14,ATL,ATL vs. CLE,1,1.0,1,0.6,0.5,,112.9,110.5,69.6,2.4,0.4,104.3,113.0,66.9,-8.7
22000613,2021-03-16,ATL,ATL @ HOU,0,2.0,1,0.7,,0.45,112.0,106.6,70.4,5.4,0.0,101.9,121.1,58.7,-19.2
22000626,2021-03-18,ATL,ATL vs. OKC,1,2.0,1,0.7,0.5263157894736842,,111.6,105.8,70.1,5.8,0.5,103.8,110.3,65.8,-6.5
22000640,2021-03-20,ATL,ATL @ LAL,0,2.0,1,0.8,,0.47619047619047616,112.1,103.9,71.4,8.2,0.6,114.2,108.5,71.19999999999999,5.7
22000660,2021-03-22,ATL,ATL @ LAC,0,2.0,0,0.8,,0.5,109.3,102.1,71.7,7.2,0.4,111.0,110.3,67.2,0.7
22000677,2021-03-24,ATL,ATL @ SAC,0,2.0,0,0.8,,0.4782608695652174,109.4,102.2,71.1,7.2,0.5,116.7,116.7,69.3,0.0
22000692,2021-03-26,ATL,ATL @ GSW,0,2.0,1,0.8,,0.4583333333333333,110.3,102.3,69.9,8.0,0.3,108.0,116.2,67.9,-8.2
22000705,2021-03-28,ATL,ATL @ DEN,0,2.0,0,0.8,,0.48,113.3,105.1,70.2,8.2,0.7,114.2,111.3,73.1,2.9
22000171,2021-03-30,ATL,ATL @ PHX,0,2.0,0,0.7,,0.46153846153846156,112.0,106.5,68.3,5.5,0.7,112.9,106.9,70.7,6.0
22000735,2021-04-01,ATL,ATL @ SAS,0,2.0,1,0.6,,0.4444444444444444,110.9,106.2,67.6,4.7,0.5,108.2,110.2,66.4,-2.0
22000742,2021-04-02,ATL,ATL @ NOP,0,1.0,1,0.6,,0.4642857142857143,112.2,108.5,69.5,3.7,0.6,115.4,108.2,75.9,7.2
22000759,2021-04-04,ATL,ATL vs. GSW,1,2.0,1,0.6,0.55,,114.8,110.6,69.19999999999999,4.2,0.3,105.1,115.7,65.4,-10.6
22000770,2021-04-06,ATL,ATL vs. NOP,1,2.0,1,0.6,0.5714285714285714,,114.6,111.0,69.0,3.6,0.5,112.8,112.6,72.3,0.2
22000780,2021-04-07,ATL,ATL vs. MEM,1,1.0,0,0.6,0.5909090909090909,,115.3,112.4,68.0,2.9,0.7,117.0,112.0,77.5,5.0
22000791,2021-04-09,ATL,ATL vs. CHI,1,2.0,1,0.5,0.5652173913043478,,116.7,116.1,67.3,0.6,0.4,106.7,109.6,74.4,-2.9
22000805,2021-04-11,ATL,ATL @ CHA,0,2.0,1,0.6,,0.4827586206896552,117.7,115.0,67.0,2.7,0.7,107.2,104.9,71.2,2.3
22000824,2021-04-13,ATL,ATL @ TOR,0,2.0,1,0.7,,0.5,117.4,114.1,67.9,3.3,0.3,110.2,108.4,62.800000000000004,1.8
22000840,2021-04-15,ATL,ATL vs. MIL,1,2.0,0,0.7,0.5833333333333334,,115.8,113.6,66.3,2.2,0.5,116.4,112.2,70.30000000000001,4.2
22000861,2021-04-18,ATL,ATL vs. IND,1,3.0,1,0.7,0.56,,116.5,113.0,67.6,3.5,0.5,116.2,118.9,70.0,-2.7
22000876,2021-04-20,ATL,ATL vs. ORL,1,2.0,1,0.8,0.5769230769230769,,118.4,113.0,68.1,5.4,0.2,104.8,118.5,62.4,-13.7
22000886,2021-04-21,ATL,ATL @ NYK,0,1.0,0,0.8,,0.5161290322580645,116.2,109.7,68.1,6.5,0.8,114.6,104.1,67.4,10.5
22000898,2021-04-23,ATL,ATL vs. MIA,1,2.0,1,0.7,0.5925925925925926,,116.3,113.1,68.3,3.2,0.6,107.6,106.0,67.3,1.6
22000913,2021-04-25,ATL,ATL vs. MIL,1,2.0,1,0.7,0.6071428571428571,,116.4,112.3,67.7,4.1,0.5,121.3,113.3,74.9,8.0
22000916,2021-04-26,ATL,ATL @ DET,0,1.0,0,0.7,,0.5,115.2,112.0,67.8,3.2,0.3,107.4,112.8,68.4,-5.4
22000934,2021-04-28,ATL,ATL @ PHI,0,2.0,0,0.7,,0.48484848484848486,112.5,108.9,67.4,3.6,0.5,109.4,107.8,64.4,1.6
22000949,2021-04-30,ATL,ATL @ PHI,0,2.0,0,0.6,,0.47058823529411764,108.8,110.8,67.2,-2.0,0.6,112.7,106.0,65.2,6.7
22000959,2021-05-01,ATL,ATL vs. CHI,1,1.0,1,0.5,0.6206896551724138,,108.7,113.3,66.9,-4.6,0.4,104.5,107.4,72.8,-2.9
22000978,2021-05-03,ATL,ATL vs. POR,1,2.0,1,0.5,0.6333333333333333,,108.7,112.7,67.2,-4.0,0.5,118.6,113.3,69.8,5.3
22000992,2021-05-05,ATL,ATL vs. PHX,1,2.0,1,0.6,0.6451612903225806,,110.1,112.1,69.1,-2.0,0.7,113.9,112.7,67.2,1.2
22001000,2021-05-06,ATL,ATL @ IND,0,1.0,0,0.6,,0.45714285714285713,110.7,110.7,70.1,0.0,0.4,119.0,119.1,73.3,-0.1
22001026,2021-05-10,ATL,ATL vs. WAS,1,4.0,1,0.5,0.65625,,112.1,114.4,67.7,-2.3,0.7,130.5,122.7,75.4,7.8
22001042,2021-05-12,ATL,ATL vs. WAS,1,2.0,1,0.6,0.6666666666666666,,111.9,113.1,68.6,-1.2,0.6,130.0,124.3,74.9,5.7
