GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,PTS,FG_PCT,REB,AST,PLUS_MINUS,SEASON,IS_PLAYOFF
0022000002,2020-12-22,LAC,LAC @ LAL,W,116,0.473,40,22,7,2020-21,0
0022000002,2020-12-22,LAL,LAL vs. LAC,L,109,0.469,45,22,-7,2020-21,0
0022000001,2020-12-22,GSW,GSW @ BKN,L,99,0.374,47,26,-26,2020-21,0
0022000001,2020-12-22,BKN,BKN vs. GSW,W,125,0.457,57,24,26,2020-21,0
0022000010,2020-12-23,CLE,CLE vs. CHA,W,121,0.529,50,34,7,2020-21,0
0022000014,2020-12-23,NOP,NOP @ TOR,W,113,0.525,45,30,14,2020-21,0
0022000015,2020-12-23,CHI,CHI vs. ATL,L,104,0.414,37,20,-20,2020-21,0
0022000018,2020-12-23,MIN,MIN vs. DET,W,111,0.432,48,25,10,2020-21,0
0022000004,2020-12-23,PHX,PHX vs. DAL,W,106,0.481,48,21,4,2020-21,0
0022000019,2020-12-23,SAC,SAC @ DEN,W,124,0.441,54,27,2,2020-21,0
0022000017,2020-12-23,SAS,SAS @ MEM,W,131,0.505,48,28,12,2020-21,0
0022000014,2020-12-23,TOR,TOR vs. NOP,L,99,0.427,35,26,-14,2020-21,0
0022000020,2020-12-23,UTA,UTA @ POR,W,120,0.457,59,24,20,2020-21,0
0022000018,2020-12-23,DET,DET @ MIN,L,101,0.484,44,29,-10,2020-21,0
0022000015,2020-12-23,ATL,ATL @ CHI,W,124,0.538,46,24,20,2020-21,0
0022000003,2020-12-23,BOS,BOS vs. MIL,W,122,0.475,37,23,1,2020-21,0
0022000004,2020-12-23,DAL,DAL @ PHX,L,102,0.424,39,17,-4,2020-21,0
0022000012,2020-12-23,MIA,MIA @ ORL,L,107,0.506,43,25,-6,2020-21,0
0022000003,2020-12-23,MIL,MIL @ BOS,L,121,0.511,52,19,-1,2020-21,0
0022000011,2020-12-23,NYK,NYK @ IND,L,107,0.459,40,25,-14,2020-21,0
0022000012,2020-12-23,ORL,ORL vs. MIA,W,113,0.477,41,23,6,2020-21,0
