GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,PTS,FG_PCT,REB,AST,PLUS_MINUS,SEASON,IS_PLAYOFF,WIN,REST_DAYS,IS_HOME
22000015,2020-12-23,ATL,ATL @ CHI,W,124,0.538,46,24,20,2020-21,0,1,0.0,0
22000021,2020-12-26,ATL,ATL @ MEM,W,122,0.427,54,23,10,2020-21,0,1,3.0,0
22000041,2020-12-28,ATL,ATL vs. DET,W,128,0.488,45,30,8,2020-21,0,1,2.0,1
22000057,2020-12-30,ATL,ATL @ BKN,L,141,0.475,54,27,-4,2020-21,0,0,2.0,0
22000072,2021-01-01,ATL,ATL @ BKN,W,114,0.462,48,24,18,2020-21,0,1,2.0,0
22000083,2021-01-02,ATL,ATL vs. CLE,L,91,0.412,48,22,-5,2020-21,0,0,1.0,1
22000095,2021-01-04,ATL,ATL vs. NYK,L,108,0.46,40,24,-5,2020-21,0,0,2.0,1
22000110,2021-01-06,ATL,ATL vs. CHA,L,94,0.375,57,25,-8,2020-21,0,0,2.0,1
22000134,2021-01-09,ATL,ATL @ CHA,L,105,0.382,47,25,-8,2020-21,0,0,3.0,0
22000153,2021-01-11,ATL,ATL vs. PHI,W,112,0.374,58,20,18,2020-21,0,1,2.0,1
22000186,2021-01-15,ATL,ATL @ UTA,L,92,0.413,41,21,-24,2020-21,0,0,4.0,0
22000195,2021-01-16,ATL,ATL @ POR,L,106,0.437,48,24,-6,2020-21,0,0,1.0,0
22000205,2021-01-18,ATL,ATL vs. MIN,W,108,0.468,48,32,11,2020-21,0,1,2.0,1
22000219,2021-01-20,ATL,ATL vs. DET,W,123,0.44,63,21,8,2020-21,0,1,2.0,1
22000236,2021-01-22,ATL,ATL @ MIN,W,116,0.458,55,21,18,2020-21,0,1,2.0,0
22000254,2021-01-24,ATL,ATL @ MIL,L,115,0.506,27,27,-14,2020-21,0,0,2.0,0
22000268,2021-01-26,ATL,ATL vs. LAC,W,108,0.463,46,20,9,2020-21,0,1,2.0,1
22000274,2021-01-27,ATL,ATL vs. BKN,L,128,0.479,37,29,-4,2020-21,0,0,1.0,1
22000290,2021-01-29,ATL,ATL @ WAS,W,116,0.448,47,16,16,2020-21,0,1,2.0,0
22000313,2021-02-01,ATL,ATL vs. LAL,L,99,0.474,36,27,-8,2020-21,0,0,3.0,1
22000330,2021-02-03,ATL,ATL vs. DAL,L,116,0.5,46,31,-6,2020-21,0,0,2.0,1
22000338,2021-02-04,ATL,ATL vs. UTA,L,91,0.327,49,19,-21,2020-21,0,0,1.0,1
22000356,2021-02-06,ATL,ATL vs. TOR,W,132,0.568,43,31,11,2020-21,0,1,2.0,1
22000384,2021-02-10,ATL,ATL @ DAL,L,117,0.455,42,27,-1,2020-21,0,0,4.0,0
22000397,2021-02-12,ATL,ATL vs. SAS,L,114,0.433,41,22,-11,2020-21,0,0,2.0,1
22000407,2021-02-13,ATL,ATL vs. IND,L,113,0.478,38,35,-12,2020-21,0,0,1.0,1
22000422,2021-02-15,ATL,ATL @ NYK,L,112,0.424,42,17,-11,2020-21,0,0,2.0,0
22000438,2021-02-17,ATL,ATL @ BOS,W,122,0.571,37,19,8,2020-21,0,1,2.0,0
22000451,2021-02-19,ATL,ATL @ BOS,L,109,0.422,41,21,-12,2020-21,0,0,2.0,0
22000470,2021-02-21,ATL,ATL vs. DEN,W,123,0.519,44,29,8,2020-21,0,1,2.0,1
22000480,2021-02-23,ATL,ATL @ CLE,L,111,0.449,41,22,-1,2020-21,0,0,2.0,0
22000490,2021-02-24,ATL,ATL vs. BOS,W,127,0.529,45,27,15,2020-21,0,1,1.0,1
22000510,2021-02-26,ATL,ATL @ OKC,L,109,0.443,54,21,-9,2020-21,0,0,2.0,0
22000522,2021-02-28,ATL,ATL @ MIA,L,99,0.414,49,22,-10,2020-21,0,0,2.0,0
22000538,2021-03-02,ATL,ATL @ MIA,W,94,0.479,47,26,14,2020-21,0,1,2.0,0
22000544,2021-03-03,ATL,ATL @ ORL,W,115,0.447,42,26,3,2020-21,0,1,1.0,0
22000570,2021-03-11,ATL,ATL @ TOR,W,121,0.433,53,20,1,2020-21,0,1,8.0,0
22000590,2021-03-13,ATL,ATL vs. SAC,W,121,0.512,45,21,15,2020-21,0,1,2.0,1
22000597,2021-03-14,ATL,ATL vs. CLE,W,100,0.451,49,21,18,2020-21,0,1,1.0,1
22000613,2021-03-16,ATL,ATL @ HOU,W,119,0.512,38,32,12,2020-21,0,1,2.0,0
22000626,2021-03-18,ATL,ATL vs. OKC,W,116,0.54,50,26,23,2020-21,0,1,2.0,1
22000640,2021-03-20,ATL,ATL @ LAL,W,99,0.398,49,26,5,2020-21,0,1,2.0,0
22000660,2021-03-22,ATL,ATL @ LAC,L,110,0.453,48,21,-9,2020-21,0,0,2.0,0
22000677,2021-03-24,ATL,ATL @ SAC,L,108,0.482,42,17,-2,2020-21,0,0,2.0,0
22000692,2021-03-26,ATL,ATL @ GSW,W,124,0.548,45,31,16,2020-21,0,1,2.0,0
22000705,2021-03-28,ATL,ATL @ DEN,L,102,0.474,31,18,-24,2020-21,0,0,2.0,0
22000171,2021-03-30,ATL,ATL @ PHX,L,110,0.482,36,30,-7,2020-21,0,0,2.0,0
22000735,2021-04-01,ATL,ATL @ SAS,W,134,0.5,57,28,5,2020-21,0,1,2.0,0
22000742,2021-04-02,ATL,ATL @ NOP,W,126,0.563,42,25,23,2020-21,0,1,1.0,0
22000759,2021-04-04,ATL,ATL vs. GSW,W,117,0.432,49,19,6,2020-21,0,1,2.0,1
22000770,2021-04-06,ATL,ATL vs. NOP,W,123,0.5,42,24,16,2020-21,0,1,2.0,1
22000780,2021-04-07,ATL,ATL vs. MEM,L,113,0.446,42,26,-18,2020-21,0,0,1.0,1
22000791,2021-04-09,ATL,ATL vs. CHI,W,120,0.56,41,25,12,2020-21,0,1,2.0,1
22000805,2021-04-11,ATL,ATL @ CHA,W,105,0.452,41,27,4,2020-21,0,1,2.0,0
22000824,2021-04-13,ATL,ATL @ TOR,W,108,0.476,39,21,5,2020-21,0,1,2.0,0
22000840,2021-04-15,ATL,ATL vs. MIL,L,109,0.453,39,23,-11,2020-21,0,0,2.0,1
22000861,2021-04-18,ATL,ATL vs. IND,W,129,0.489,51,20,12,2020-21,0,1,3.0,1
22000876,2021-04-20,ATL,ATL vs. ORL,W,112,0.415,65,20,16,2020-21,0,1,2.0,1
22000886,2021-04-21,ATL,ATL @ NYK,L,127,0.48,41,28,-10,2020-21,0,0,1.0,0
22000898,2021-04-23,ATL,ATL vs. MIA,W,118,0.538,38,24,15,2020-21,0,1,2.0,1
22000913,2021-04-25,ATL,ATL vs. MIL,W,111,0.455,44,23,7,2020-21,0,1,2.0,1
22000916,2021-04-26,ATL,ATL @ DET,L,86,0.388,45,19,-14,2020-21,0,0,1.0,0
22000934,2021-04-28,ATL,ATL @ PHI,L,83,0.333,47,17,-44,2020-21,0,0,2.0,0
22000949,2021-04-30,ATL,ATL @ PHI,L,104,0.439,46,19,-22,2020-21,0,0,2.0,0
22000959,2021-05-01,ATL,ATL vs. CHI,W,108,0.5,44,19,11,2020-21,0,1,1.0,1
22000978,2021-05-03,ATL,ATL vs. POR,W,123,0.524,49,32,9,2020-21,0,1,2.0,1
22000992,2021-05-05,ATL,ATL vs. PHX,W,135,0.631,46,35,32,2020-21,0,1,2.0,1
22001000,2021-05-06,ATL,ATL @ IND,L,126,0.511,34,27,-7,2020-21,0,0,1.0,0
22001026,2021-05-10,ATL,ATL vs. WAS,W,125,0.479,55,23,1,2020-21,0,1,4.0,1
22001042,2021-05-12,ATL,ATL vs. WAS,W,120,0.512,51,22,4,2020-21,0,1,2.0,1
22001049,2021-05-13,ATL,ATL vs. ORL,W,116,0.436,49,19,23,2020-21,0,1,1.0,1
22001066,2021-05-16,ATL,ATL vs. HOU,W,124,0.544,56,32,29,2020-21,0,1,3.0,1
42000131,2021-05-23,ATL,ATL @ NYK,W,107,0.467,42,17,2,2020-21,1,1,7.0,0
42000132,2021-05-26,ATL,ATL @ NYK,L,92,0.369,41,17,-9,2020-21,1,0,3.0,0
42000133,2021-05-28,ATL,ATL vs. NYK,W,105,0.519,42,28,11,2020-21,1,1,2.0,1
42000134,2021-05-30,ATL,ATL vs. NYK,W,113,0.439,48,24,17,2020-21,1,1,2.0,1
42000135,2021-06-02,ATL,ATL @ NYK,W,103,0.425,48,17,14,2020-21,1,1,3.0,0
