game_date,game_id,player,team,opp,is_home,market_type,stat,threshold,yes_ask,model_prob,pred_stat,lineup_adj,edge,direction,kelly,rest_days,opp_def_l10,game_in_series,ticker,run_date
2026-05-04,26MAY04PHINYK,Mikal Bridges,NYK,PHI,1,PROP,STL,3.0,0.92,0.052,0.8,0.0,0.868,NO,0.25,4.0,107.4,7,KXNBASTL-26MAY04PHINYK-NYKMBRIDGES25-3,2026-05-04
2026-05-04,26MAY04PHINYK,Joel Embiid,PHI,NYK,0,PROP,STL,3.0,0.92,0.07,1.0,0.0,0.85,NO,0.25,2.0,102.5,8,KXNBASTL-26MAY04PHINYK-PHIJEMBIID21-3,2026-05-04
2026-05-04,26MAY04PHINYK,Mikal Bridges,NYK,PHI,1,COMBO,DD,0.0,0.81,0.009,10p/2r/2a,0.0,0.801,NO,0.25,4.0,107.4,7,KXNBA2D-26MAY04PHINYK-NYKMBRIDGES25,2026-05-04
2026-05-04,26MAY04PHINYK,OG Anunoby,NYK,PHI,1,PROP,STL,1.0,0.77,0.464,0.9,0.0,0.306,NO,0.199,4.0,107.4,7,KXNBASTL-26MAY04PHINYK-NYKOANUNOBY8-1,2026-05-04
2026-05-04,26MAY04PHINYK,Josh Hart,NYK,PHI,1,PROP,AST,4.0,0.69,0.392,3.3,0.0,0.298,NO,0.2158,4.0,107.4,7,KXNBAAST-26MAY04PHINYK-NYKJHART3-4,2026-05-04
2026-05-04,26MAY04PHINYK,Josh Hart,NYK,PHI,1,PROP,AST,2.0,0.97,0.693,3.3,0.0,0.277,NO,0.1427,4.0,107.4,7,KXNBAAST-26MAY04PHINYK-NYKJHART3-2,2026-05-04
2026-05-04,26MAY04PHINYK,Jalen Brunson,NYK,PHI,1,PROP,FG3M,1.0,0.95,0.692,2.2,0.0,0.258,NO,0.1357,4.0,107.4,7,KXNBA3PT-26MAY04PHINYK-NYKJBRUNSON11-1,2026-05-04
2026-05-04,26MAY04PHINYK,Josh Hart,NYK,PHI,1,PROP,AST,5.0,0.51,0.254,3.3,0.0,0.256,NO,0.25,4.0,107.4,7,KXNBAAST-26MAY04PHINYK-NYKJHART3-5,2026-05-04
2026-05-04,26MAY04MINSAS,Victor Wembanyama,SAS,MIN,1,PROP,FG3M,2.0,0.7,0.444,1.7,0.0,0.256,NO,0.1831,6.0,116.3,6,KXNBA3PT-26MAY04MINSAS-SASVWEMBANYAMA1-2,2026-05-04
2026-05-04,26MAY04PHINYK,Mikal Bridges,NYK,PHI,1,PROP,REB,2.0,0.79,0.534,2.3,0.0,0.256,NO,0.162,4.0,107.4,7,KXNBAREB-26MAY04PHINYK-NYKMBRIDGES25-2,2026-05-04
2026-05-04,26MAY04PHINYK,Joel Embiid,PHI,NYK,0,PROP,BLK,1.0,0.77,0.515,1.0,0.0,0.255,NO,0.1658,2.0,102.5,8,KXNBABLK-26MAY04PHINYK-PHIJEMBIID21-1,2026-05-04
2026-05-04,26MAY04MINSAS,Anthony Edwards,MIN,SAS,0,PROP,REB,4.5,0.4482,0.693,7.0,1.52,0.245,YES,0.2216,4.0,109.1,7,REB-26MAY04MINSAS-Anthony Edwards-4.5,2026-05-04
